,K,Heads,Model,F1,F1_std,Accuracy
0,5,2,Transformer_2H_K5,0.6590738458128726,0.002853217240062512,0.6733874731634463
1,5,4,Transformer_4H_K5,0.6475370092642632,0.00160367468097522,0.6674134229440867
2,5,8,Transformer_8H_K5,0.6538650359896879,0.010216437159247032,0.6653598431811817
3,7,2,Transformer_2H_K7,0.6729523316273592,0.008131881099803579,0.6886026323158779
4,7,4,Transformer_4H_K7,0.6627019151480689,0.004749662970255194,0.6778680108279661
5,7,8,Transformer_8H_K7,0.669657838786463,0.009345357324419996,0.687295808830393
6,9,2,Transformer_2H_K9,0.6869093586523015,0.002588578307058082,0.7005507327545972
7,9,4,Transformer_4H_K9,0.6893861908802625,0.001628215137960721,0.7030710351908896
8,9,8,Transformer_8H_K9,0.6894572578064603,0.0025796098951549645,0.7026043125175021
9,11,2,Transformer_2H_K11,0.6837155761617778,0.004906064371918475,0.6990572201997574
10,11,4,Transformer_4H_K11,0.6912129849192322,0.00475002131958536,0.7039111360029869
11,11,8,Transformer_8H_K11,0.6405728566252102,0.068117454004418,0.6485578269392328
12,13,2,Transformer_2H_K13,0.6818708296762308,0.0034908083720278267,0.6980304303183048
13,13,4,Transformer_4H_K13,0.6810568770312125,0.0010667156487250543,0.6983104639223373
14,13,8,Transformer_8H_K13,0.6444898745865767,0.05824780435194425,0.6570521795948847
15,15,2,Transformer_2H_K15,0.6912761779137003,0.004166697852264908,0.7031643797255671
16,15,4,Transformer_4H_K15,0.685274132744909,0.0036627672155720844,0.6987771865957249
17,15,8,Transformer_8H_K15,0.6405443610245958,0.062061903523999186,0.65163819658359
18,17,2,Transformer_2H_K17,0.690173250193758,0.005039501339051741,0.7074582283207317
19,17,4,Transformer_4H_K17,0.6982569332803807,0.005039365556962985,0.7108186315691216
20,17,8,Transformer_8H_K17,0.6481993942065146,0.06926770442152308,0.6660132549239242
21,19,2,Transformer_2H_K19,0.6947017276274878,0.004845075957236266,0.7030710351908896
22,19,4,Transformer_4H_K19,0.6977761944687743,0.0007986544632907634,0.7049379258844395
23,19,8,Transformer_8H_K19,0.6992252697615813,0.0018224240609235065,0.7085783627368617
24,21,2,Transformer_2H_K21,0.6917162122386998,0.01629287813137488,0.706338093904602
25,21,4,Transformer_4H_K21,0.7053268254259407,0.0008551570861006455,0.7148324465602539
26,21,8,Transformer_8H_K21,0.6936972921402974,0.01491045909763629,0.704844581349762
27,23,2,Transformer_2H_K23,0.6946887373354143,0.01067453039076105,0.705404648557827
28,23,4,Transformer_4H_K23,0.7011840686866337,0.002074278727059238,0.7152058246989639
29,23,8,Transformer_8H_K23,0.6990722177482467,0.004077341363871559,0.7138056566788015
30,25,2,Transformer_2H_K25,0.6925464914316591,0.023046863078218002,0.7054979930925045
31,25,4,Transformer_4H_K25,0.7079158673125091,0.0032266196432358322,0.7186595724820313
32,25,8,Transformer_8H_K25,0.7058618772325985,0.0021282920101102906,0.7191262951554186
33,27,2,Transformer_2H_K27,0.7027507531941038,0.010597610101299818,0.713152244936059
34,27,4,Transformer_4H_K27,0.7058170797535812,0.007327586558182992,0.7143657238868665
35,27,8,Transformer_8H_K27,0.7109908260076042,0.0013658726165113118,0.7197797068981612
36,29,2,Transformer_2H_K29,0.7045205064752992,0.00919874273320447,0.714645757490899
37,29,4,Transformer_4H_K29,0.7046578054813665,0.00576776960770205,0.714272379352189
38,29,8,Transformer_8H_K29,0.7044290051174191,0.01979003261679474,0.7111920097078316
39,31,2,Transformer_2H_K31,0.6980575301575858,0.013894585908348793,0.7062447493699245
40,31,4,Transformer_4H_K31,0.7057555896995632,0.005580150265414441,0.7159525809763839
41,31,8,Transformer_8H_K31,0.703652090006547,0.006990530659309024,0.714272379352189
42,33,2,Transformer_2H_K33,0.7048330513374266,0.0007040180709673845,0.7143657238868665
43,33,4,Transformer_4H_K33,0.6950244981324687,0.004919912181195554,0.703724446933632
44,33,8,Transformer_8H_K33,0.6839488241424045,0.01715361573698305,0.6987771865957249
45,35,2,Transformer_2H_K35,0.6960019772100322,0.011043647747924499,0.7059647157658918
46,35,4,Transformer_4H_K35,0.7049536691707176,0.0035198809295000225,0.712218799589284
47,35,8,Transformer_8H_K35,0.6926915690473919,0.011368762756660078,0.7059647157658918
