,Unnamed: 0,Graph,K,Model,F1,F1_std,Accuracy,Accuracy_std
0,0.0,spatial,5,GCN,0.5330081305106528,0.0399586338201277,0.5463905987688864,0.0467189509895011
1,1.0,spatial,5,GAT,0.5403836036149657,0.038045781540813,0.5672635702294347,0.0217470977974459
2,2.0,spatial,5,TransformerConv,0.5402480213034937,0.0347938098152054,0.5538891997761611,0.0299358815695231
3,3.0,spatial,7,GCN,0.5019966833240816,0.0344988440199416,0.510576385002798,0.0356531422738566
4,4.0,spatial,7,GAT,0.5559562522729764,0.0209464249391275,0.5732512590934526,0.0220359074086961
5,5.0,spatial,7,TransformerConv,0.5622782299545512,0.0336818471910764,0.5711807498601007,0.0258486612592089
6,6.0,spatial,9,GCN,0.5245928685011281,0.0044929176040776,0.5507554560716285,0.0116748101323114
7,7.0,spatial,9,GAT,0.5204642942968547,0.0285979165850973,0.538836038052602,0.0273707626343186
8,8.0,spatial,9,TransformerConv,0.5489203186958934,0.0351418579175979,0.5524902070509233,0.0389572025896466
9,9.0,spatial,11,GCN,0.4666651447884868,0.0562545104191657,0.5409625069949636,0.0279297817197405
10,10.0,spatial,11,GAT,0.5449854848491101,0.018312440362171,0.5628427532176834,0.0273948925085661
11,11.0,spatial,11,TransformerConv,0.5493735134697525,0.044110173014874,0.5535534415221041,0.043774158220093
12,12.0,spatial,13,GCN,0.4954319387208475,0.0133478020918258,0.5348628987129266,0.0266714798528475
13,13.0,spatial,13,GAT,0.5436381847346843,0.0163761318387358,0.5652490207050923,0.0206243225641719
14,14.0,spatial,13,TransformerConv,0.5500841728686636,0.0379123410370823,0.5537213206491327,0.0375922647702254
15,15.0,spatial,15,GCN,0.5124431971582186,0.0166400999929736,0.5374370453273642,0.0178995857176634
16,16.0,spatial,15,GAT,0.5456276640201858,0.0222812583988682,0.5695579182988249,0.0214418444585616
17,17.0,spatial,15,TransformerConv,0.5607463148603579,0.0243005984950507,0.5667039731393397,0.0201855598620296
