,Graph,K,Model,F1,F1_std,Accuracy,Accuracy_std
0,spatial,5,GCN,0.5330081305106528,0.03995863382012779,0.5463905987688864,0.046718950989501185
1,spatial,5,GAT,0.5403836036149657,0.03804578154081301,0.5672635702294347,0.021747097797445963
2,spatial,5,TransformerConv,0.5402480213034937,0.034793809815205454,0.5538891997761611,0.02993588156952311
3,spatial,7,GCN,0.5019966833240816,0.03449884401994165,0.510576385002798,0.03565314227385669
4,spatial,7,GAT,0.5559562522729764,0.020946424939127527,0.5732512590934526,0.022035907408696185
5,spatial,7,TransformerConv,0.5622782299545512,0.03368184719107642,0.5711807498601007,0.025848661259208913
6,spatial,9,GCN,0.5245928685011281,0.004492917604077645,0.5507554560716285,0.011674810132311437
7,spatial,9,GAT,0.5204642942968547,0.028597916585097315,0.538836038052602,0.02737076263431862
8,spatial,9,TransformerConv,0.5489203186958934,0.03514185791759793,0.5524902070509233,0.03895720258964668
9,spatial,11,GCN,0.46666514478848686,0.05625451041916575,0.5409625069949636,0.027929781719740587
10,spatial,11,GAT,0.5449854848491101,0.01831244036217105,0.5628427532176834,0.027394892508566193
11,spatial,11,TransformerConv,0.5493735134697525,0.04411017301487402,0.5535534415221041,0.04377415822009301
12,spatial,13,GCN,0.49543193872084756,0.01334780209182586,0.5348628987129266,0.026671479852847575
13,spatial,13,GAT,0.5436381847346843,0.016376131838735892,0.5652490207050923,0.02062432256417198
14,spatial,13,TransformerConv,0.5500841728686636,0.03791234103708233,0.5537213206491327,0.037592264770225446
15,spatial,15,GCN,0.5124431971582186,0.016640099992973657,0.5374370453273642,0.017899585717663407
16,spatial,15,GAT,0.5456276640201858,0.022281258398868284,0.5695579182988249,0.02144184445856169
17,spatial,15,TransformerConv,0.5607463148603579,0.024300598495050733,0.5667039731393397,0.020185559862029637
18,spatial,17,GCN,0.4721858278594274,0.011689839883824221,0.486793508673755,0.031575064357981485
19,spatial,17,GAT,0.5349798829285944,0.037485749143490614,0.5519306099608283,0.0313801771056445
20,spatial,17,TransformerConv,0.5469382809100451,0.0406680711976863,0.557134862898713,0.033811613789127636
21,spatial,19,GCN,0.4913216639706441,0.00885650123164607,0.5287073307218803,0.03314194573435305
22,spatial,19,GAT,0.5279803009585933,0.032073533004443586,0.5430889759373251,0.03309958840961234
23,spatial,19,TransformerConv,0.55494871567107,0.019573124994466125,0.5644655847789591,0.014220373966888519
24,spatial,21,GCN,0.4760995921560716,0.018984111978647546,0.514493564633464,0.045305389603802065
25,spatial,21,GAT,0.5611402810978239,0.016930574645708546,0.5758254057078903,0.017053486049535934
26,spatial,21,TransformerConv,0.5532142717094224,0.036902319281675304,0.5590934527140459,0.035672899014019877
27,spatial,23,GCN,0.508521562699489,0.007918091166141554,0.5437604924454392,0.010302667239274806
28,spatial,23,GAT,0.5102767686973098,0.02805837469391641,0.5248461108002238,0.030071979129101027
29,spatial,23,TransformerConv,0.5837922408563372,0.024464538839587352,0.5876329043088975,0.023724804838923065
30,spatial,25,GCN,0.46842202808905686,0.05488748377854856,0.5360380526021264,0.024136350814880223
