,Graph,K,Model,F1,F1_std,Accuracy,Accuracy_std
0,spatial,5,RGCN,0.5663291944448096,0.019622405693164743,0.5688322598711845,0.0198275063873705
1,spatial,5,GAT,0.569355406035686,0.0017258340756874334,0.5775413049565948,0.0037470128666877976
2,spatial,5,TransformerConv,0.5750547784082354,0.010967096040426465,0.578913469616354,0.011366087596311799
3,spatial,7,RGCN,0.5477077017427654,0.03409932813358412,0.556706804816578,0.026431968252221022
4,spatial,7,GAT,0.5719408418188061,0.0070459347680260935,0.5784094091290954,0.0035735842983259385
5,spatial,7,TransformerConv,0.5733134188434507,0.015420565570964419,0.5790814897787734,0.016797558449063048
6,spatial,9,RGCN,0.5633194441373779,0.031043484054134273,0.566844021282554,0.029308376397425506
7,spatial,9,GAT,0.548291591479051,0.05176965595614963,0.5715485858302997,0.02051903119767277
8,spatial,9,TransformerConv,0.585500606801804,0.00984547164497223,0.5891626995239428,0.008700396667191938
9,spatial,11,RGCN,0.5597701427960217,0.034796184988904334,0.5620274432931951,0.0347011242322997
10,spatial,11,GAT,0.5646289886881302,0.01206412877953192,0.578689442733128,0.017970762447438084
11,spatial,11,TransformerConv,0.5797980602493636,0.04011019117216231,0.5859143097171662,0.036944711436875895
12,spatial,13,RGCN,0.557714036456401,0.0376326960208377,0.5629235508260991,0.03899246467021951
13,spatial,13,GAT,0.5305985511600646,0.06033814615674382,0.5607952954354523,0.04297146449252432
14,spatial,13,TransformerConv,0.5340677502971418,0.07540116864880483,0.5471016521982638,0.06402073478221777
15,spatial,15,RGCN,0.5575819277852935,0.026742500766263576,0.5609073088770653,0.024547944429232887
16,spatial,15,GAT,0.5420754552978085,0.05820719505683682,0.5596751610193224,0.06196722896577405
17,spatial,15,TransformerConv,0.5801607298866294,0.03919117539719747,0.5839260711285353,0.031623420108635655
18,spatial,17,RGCN,0.58032040093054,0.01861414156183907,0.5869784374124895,0.016457996836124984
19,spatial,17,GAT,0.5368913021154806,0.06943112814964238,0.5759171100532063,0.04293294174004537
20,spatial,17,TransformerConv,0.5718632555953697,0.02590171002970248,0.5744329319518342,0.024043800047252692
21,spatial,19,RGCN,0.5720796393395378,0.03984226559942485,0.5765611873424811,0.03873512634285796
22,spatial,19,GAT,0.5243912826784408,0.07386239346727264,0.5533183982077851,0.05188403035483354
23,spatial,19,TransformerConv,0.5758710928681186,0.030618782949779044,0.5783814057686921,0.03108781675588109
24,spatial,21,RGCN,0.5718415263650691,0.034285672676676066,0.5780733688042565,0.03261833775821478
25,spatial,21,GAT,0.5352361380256386,0.04730775131064726,0.5659199103892467,0.04847129309259928
26,spatial,21,TransformerConv,0.5810224132918806,0.020519863426273037,0.586250350042005,0.015455850949039807
27,spatial,23,RGCN,0.5757516893513461,0.03504379248143259,0.5817138056566787,0.029221623988030375
28,spatial,23,GAT,0.571956024013667,0.00412637119065845,0.5869224306916829,0.006834713345919745
29,spatial,23,TransformerConv,0.5854950909403618,0.022200571129246432,0.5893587230467657,0.022173003473149017
30,spatial,25,RGCN,0.5503270753405707,0.04229975699789478,0.5613553626435173,0.02804399180554064
31,spatial,25,GAT,0.560560420579493,0.04267044416132998,0.5774572948753851,0.047537541582889635
32,spatial,25,TransformerConv,0.5810609462390064,0.034551013666309686,0.586138336600392,0.03536469647561119
33,spatial,27,RGCN,0.5692061182791174,0.03239380966128987,0.577793335200224,0.02390445643181331
34,spatial,27,GAT,0.5364646731380214,0.05616853530277738,0.5539344721366564,0.05674553994054461
35,spatial,27,TransformerConv,0.5850299741273786,0.03465300092856365,0.5883786054326519,0.031120402907552584
36,spatial,29,RGCN,0.5689131219706224,0.041222063565704806,0.5804256510781294,0.03037765763207592
37,spatial,29,GAT,0.5366646797519424,0.06778917213716448,0.5635116213945673,0.0472017469284334
